,brand,selling price,kilometer,Fuel Type,Transmission
182,2018 Tata NEXON XM PETROL,₹5.37 Lakh,"83,465 km",Petrol,Manual
183,2015 Maruti Wagon R 1.0 LXI CNG,₹3.80 Lakh,"47,305 km",CNG,Manual
184,2020 Hyundai AURA SX PLUS 1.2 AMT CRDI,₹7.17 Lakh,"58,033 km",Diesel,Automatic
185,2017 Maruti Wagon R 1.0 LXI CNG,₹3.91 Lakh,"80,479 km",CNG,Manual
186,2016 Maruti Baleno DELTA PETROL 1.2,₹5.36 Lakh,"25,233 km",CNG,Manual
187,2016 Maruti Baleno DELTA CVT PETROL 1.2,₹5.23 Lakh,"40,945 km",Petrol,Automatic
188,2021 Maruti S PRESSO VXI (O) CNG,₹5.17 Lakh,"21,903 km",CNG,Manual
189,2010 Hyundai i10 SPORTZ 1.2,₹1.70 Lakh,"92,421 km",Petrol,Manual
190,2017 Honda City 1.5L I-VTEC ZX CVT,₹6.85 Lakh,"42,718 km",Petrol,Automatic
191,2018 Hyundai Grand i10 SPORTZ AT 1.2 KAPPA VTVT,₹5.54 Lakh,"21,668 km",Petrol,Automatic
192,2019 Maruti Alto VXI,₹3.31 Lakh,"33,589 km",Petrol,Manual
193,2017 Honda City 1.5L I-VTEC ZX CVT,₹8.11 Lakh,"45,419 km",Petrol,Automatic
194,2018 Maruti Wagon R 1.0 VXI,₹3.87 Lakh,"9,481 km",Petrol,Manual
195,2017 Maruti Baleno DELTA PETROL 1.2,₹5.02 Lakh,"40,882 km",Petrol,Manual
196,2017 Hyundai Eon MAGNA PLUS,₹3.17 Lakh,"25,727 km",Petrol,Manual
197,2018 Jeep Compass LIMITED (O) 1.4 PETROL AT,₹15.07 Lakh,"38,696 km",Petrol,Automatic
198,2016 Maruti Vitara Brezza ZDI PLUS DUAL TONE,₹6.85 Lakh,"90,974 km",Diesel,Manual
199,2019 Honda Amaze 1.5L I-DTEC VX CVT,₹7.82 Lakh,"81,453 km",Diesel,Automatic
200,2019 Maruti Baleno ZETA CVT PETROL 1.2,₹6.46 Lakh,"92,957 km",Petrol,Automatic
201,2019 Mahindra XUV300 W8 1.5 DIESEL,₹8.78 Lakh,"80,316 km",Diesel,Manual
202,2016 Maruti Alto 800 LXI,₹2.35 Lakh,"47,233 km",Petrol,Manual
203,2022 Tata Tiago XT CNG,₹6.23 Lakh,"35,386 km",CNG,Manual
204,2017 Maruti Ertiga ZDI + SHVS,₹9.28 Lakh,"44,667 km",Diesel,Manual
205,2019 Tata Harrier XM 2.0L KRYOTEC,₹11.01 Lakh,"44,103 km",Diesel,Manual
206,2017 Honda City 1.5L I-VTEC V MT,₹6.08 Lakh,"48,661 km",Petrol,Manual
207,2020 Hyundai NEW SANTRO SPORTZ CNG,₹5.31 Lakh,"56,334 km",CNG,Manual
208,2017 Maruti Celerio VXI CNG,₹3.82 Lakh,"78,176 km",CNG,Manual
209,2018 Skoda Rapid STYLE 1.6 MPI AT,₹7.06 Lakh,"17,373 km",Petrol,Automatic
210,2016 Hyundai Elite i20 ASTA 1.4 CRDI (O),₹5.66 Lakh,"77,147 km",Diesel,Manual
211,2016 Maruti Baleno DELTA PETROL 1.2,₹5.14 Lakh,"39,148 km",Petrol,Manual
212,2011 Maruti Swift Dzire VDI,₹3.08 Lakh,"39,728 km",Diesel,Manual
213,2017 Honda City 1.5L I-VTE V CVT,₹7.14 Lakh,"32,112 km",Petrol,Automatic
214,2012 Maruti Swift VXI,₹2.83 Lakh,"54,800 km",Petrol,Manual
215,2019 Honda City 1.5L I-VTEC VX CVT,₹9.58 Lakh,"54,705 km",Petrol,Automatic
216,2010 Maruti Swift Dzire VXI,₹2.09 Lakh,"82,627 km",Petrol,Manual
217,2015 Maruti Wagon R 1.0 LXI CNG,₹3.78 Lakh,"61,280 km",CNG,Manual
218,2018 Skoda Rapid STYLE 1.6 MPI AT,₹7.58 Lakh,"22,077 km",Petrol,Automatic
219,2016 Maruti Swift VXI,₹4.52 Lakh,"38,837 km",Petrol,Manual
220,2021 Tata NEXON XZ 1.2,₹8.87 Lakh,"17,852 km",Petrol,Manual
221,2017 Maruti Wagon R 1.0 VXI,₹3.87 Lakh,"34,895 km",Petrol,Manual
222,2016 Hyundai Elite i20 SPORTZ 1.2,₹4.91 Lakh,"73,516 km",Petrol,Manual
223,2018 Honda Jazz 1.2L I-VTEC V,₹5.44 Lakh,"21,404 km",Petrol,Manual
224,2019 Renault Duster 110 PS RXZ MT DIESEL,₹7.92 Lakh,"89,481 km",Diesel,Manual
225,2017 Maruti Baleno DELTA CVT PETROL 1.2,₹5.48 Lakh,"32,296 km",Petrol,Automatic
226,2018 Hyundai Elite i20 ASTA 1.2  CVT,₹6.33 Lakh,"62,469 km",Petrol,Automatic
227,2020 Volkswagen Polo COMFORTLINE PLUS 1.0L MPI,₹6.05 Lakh,"26,754 km",Petrol,Manual
228,2013 Maruti Ertiga VXI,₹5.56 Lakh,"66,702 km",CNG,Manual
229,2016 Honda Jazz 1.2L I-VTEC V AT,₹5.11 Lakh,"55,472 km",Petrol,Automatic
230,2017 Maruti IGNIS DELTA 1.2 AMT,₹5.45 Lakh,"12,795 km",Petrol,Automatic
231,2015 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,₹4.07 Lakh,"15,448 km",Petrol,Manual
232,2016 Hyundai Eon MAGNA + AIRBAG,₹3.06 Lakh,"18,049 km",Petrol,Manual
233,2015 Hyundai Elite i20 SPORTZ 1.2,₹4.33 Lakh,"94,232 km",Petrol,Manual
234,2018 Maruti Ciaz ZETA 1.4  AT PETROL,₹7.40 Lakh,"53,796 km",Petrol,Automatic
235,2013 Volkswagen Polo HIGHLINE1.2L,₹3.72 Lakh,"50,177 km",Petrol,Manual
236,2012 Maruti Wagon R 1.0 LXI CNG,₹2.17 Lakh,"96,227 km",CNG,Manual
237,2018 Hyundai New Elantra 1.6 SX (O) AT DIESEL,₹11.61 Lakh,"48,054 km",Diesel,Automatic
238,2018 Tata TIGOR XZA PETROL,₹4.28 Lakh,"1,16,384 km",Petrol,Automatic
239,2017 Maruti Dzire VDI AMT,₹6.36 Lakh,"43,440 km",Diesel,Automatic
240,2015 Maruti Celerio VXI,₹3.39 Lakh,"29,535 km",Petrol,Manual
241,2019 Maruti Baleno ALPHA PETROL 1.2,₹6.58 Lakh,"83,303 km",Petrol,Manual
242,2013 Hyundai i20 MAGNA (O) 1.2,₹3.37 Lakh,"59,000 km",CNG,Manual
243,2014 Maruti Wagon R 1.0 LXI CNG,₹3.42 Lakh,"76,141 km",CNG,Manual
244,2016 Hyundai Creta SX PLUS AT 1.6 PETROL,₹9.34 Lakh,"19,020 km",Petrol,Automatic
245,2013 Maruti Wagon R Stingray VXI,₹3.00 Lakh,"23,592 km",Petrol,Manual
246,2010 Hyundai i10 SPORTZ 1.2,₹1.67 Lakh,"61,316 km",Petrol,Manual
247,2017 Maruti Baleno DELTA PETROL 1.2,₹5.09 Lakh,"67,280 km",Petrol,Manual
248,2017 Honda City 1.5L I-VTEC VX,₹7.39 Lakh,"37,420 km",Petrol,Manual
249,2016 Maruti Baleno DELTA PETROL 1.2,₹5.17 Lakh,"13,998 km",Petrol,Manual
250,2019 Maruti Alto LXI CNG,₹3.36 Lakh,"88,748 km",CNG,Manual
251,2017 Honda City 1.5L I-VTEC VX,₹7.63 Lakh,"29,305 km",Petrol,Manual
252,2018 Maruti Celerio ZXI,₹4.48 Lakh,"9,866 km",Petrol,Manual
253,2017 Hyundai Verna 1.6 VTVT S AT,₹6.02 Lakh,"57,160 km",Petrol,Automatic
254,2015 Maruti Wagon R 1.0 VXI,₹3.11 Lakh,"63,478 km",Petrol,Manual
255,2017 Honda City 1.5L I-VTEC VX,₹7.19 Lakh,"18,129 km",Petrol,Manual
256,2021 MG HECTOR SHARP 2.0 DIESEL,₹16.29 Lakh,"25,844 km",Diesel,Manual
257,2017 Maruti Wagon R 1.0 VXI,₹3.59 Lakh,"37,340 km",Petrol,Manual
258,2018 Maruti Baleno DELTA DIESEL 1.3,₹5.68 Lakh,"76,735 km",Diesel,Manual
259,2017 Honda Jazz 1.2L I-VTEC V,₹4.24 Lakh,"77,625 km",Petrol,Manual
260,2016 Honda Amaze 1.2L I-VTEC SX,₹4.03 Lakh,"47,851 km",Petrol,Manual
261,2021 Tata ALTROZ XE PETROL,₹6.09 Lakh,"17,013 km",Petrol,Manual
262,2015 Maruti Celerio VXI CNG,₹3.92 Lakh,"56,930 km",CNG,Manual
263,2021 Jeep Compass SPORT 1.4 PETROL DCT,₹17.36 Lakh,"21,250 km",Petrol,Automatic
264,2019 Hyundai NEW SANTRO ERA EXECUTIVE,₹4.18 Lakh,"16,657 km",Petrol,Manual
265,2016 Hyundai i20 Active 1.4 SX,₹5.27 Lakh,"1,17,160 km",Diesel,Manual
266,2017 Hyundai New Elantra 2.0 SX(O) AT PETROL,₹9.34 Lakh,"75,962 km",Petrol,Automatic
